naam,categorie,categorie2,website,tekstje,foto,adres,latitude,longitude
Algemene informatie,,,,,,,,
Repair café,consuminderen,maak,http://www.repaircafe.be/nl/,"Repair Cafés zijn bijeenkomsten waar mensen (samen) kapotte spullen herstellen. Van kledij over elektrische apparaten tot meubels, fietsen en computers. Gereedschap en knowhow zijn aanwezig. De Repair Cafés worden draaiende gehouden door liefhebbers, gratis en voor niets. Bezoekers nemen van thuis kapotte spullen mee. In het Repair Café gaan ze samen met de deskundigen aan de slag. Zo valt er altijd wel wat te leren. Wie niets heeft om te repareren, neemt een kop koffie of thee. Of gaat helpen bij een reparatie van iemand anders en doet inspiratie op.",13.jpeg,/,,
Goedvandoen,consuminderen,koop ecologisch,http://www.goedvandoen.be/,"GOEDvandoen is de sympathieke webwinkel voor eco en fair goed dat bovendien ongemeen hip, betaalbaar en gewoon ook bloedmooi is.",10.jpeg,/,,
Peerby,consuminderen,Deel of ruil,http://www.peerby.be,Benieuwd wat mensen in jouw buurt delen? Download de 'Peerby app' en leen de dingen die je nodig hebt van mensen in je buurt.,12.jpeg,/,,
Critical Mass,mobiliteit,Fiets,https://www.facebook.com/CriticalMassGent/,"Critical Mass Gent komt samen met u op straat om te ijveren voor goeie fietsvoorzieningen, een leefbare stad en een duurzaam mobiliteitsmodel! We maken er een aangenaam fietsritje van, waarop iedereen van harte uitgenodigd is: kinderen, bakfietsen, bmx’kes, tandems, lowriders,… ",5.jpeg,/,,
Cambio,mobiliteit,Autodelen,http://www.cambio.be,"Cambio gebruik je ook waar je wil. Verschillende types wagens (van kleine stadswagens tot grote bestelwagens) staan voor jou klaar ... in jouw buurt, maar ook elders in België. Van familiebezoek tot kleine verhuis ... de gepaste auto staat voor je klaar.",4.jpeg,/,,
Degage,mobiliteit,Autodelen,http://www.degage.be/,"Heb je geen auto maar heb je er wel af en toe
een nodig? Of heb je een auto maar je gebruikt
hem niet zo veel? Dan is Dégage iets voor jou! Dégage staat voor bewust autogebruik en duurzame mobiliteit.",6.jpeg,/,,
Autopia,mobiliteit,Leer,http://www.autodelen.net/,"Autodelen.net is het Vlaams Netwerk Autodelen en heeft als doel de ecologische, sociale en economische voordelen van autodelen te maximaliseren door: De belangen te bundelen van de particuliere autodeelgroepen en autodeelorganisaties; Ze te vertegenwoordigen tegenover (lokale) overheden; De uitbouw van het algemeen concept autodelen; Innovatie en pilootprojecten ",2.jpeg,/,,
Eva,voeding,Leer,http://www.evavzw.be,"EVA maakt het gemakkelijk om meer plantaardig te eten, voor de consument, voor bedrijven, voor professionele koks (in opleiding) en grootkeukenchefs, voor scholen en steden",7.jpeg,/,,
Velt,voeding,Leer,http://www.velt.be,"Velt (Vereniging voor Ecologisch Leven en Tuinieren) is de vereniging voor al wie milieuvriendelijk aan de slag wil in de tuin of keuken. Al meer dan 40 jaar promoten we gezond leven op het ritme van de seizoenen, én dit met respect voor de natuur.",18.jpeg,/,,
lets gent,consuminderen,Deel of ruil,http://www.lets.gent,"De LETS-groep van Gent is de grootste en leukste groep in Vlaanderen. De leden maken met elkaar afspraken, zodat ze vlot diensten, belevenissen, kennis en goederen kunnen uitwisselen.",30.jpg,,0,0
Voedselteams,voeding,Leer,http://www.voedselteams.be/,Wij zijn een netwerk van lokale voedselteams en duurzame producenten. Via dit netwerk organiseren we de directe verhandeling van duurzame streek- en seizoensvoeding. Wij willen bijdragen aan regionale voedselsystemen en zijn pioniers in de korte keten. ,32.jpg,,0,0
Cohousing projects,wonen,Leer,http://www.cohousingprojects.be/,"Cohousing Projects is een coöperatieve vennootschap die een professionele dienstverlening voor cohousing aanbiedt. Naast het verlenen van expertise aan groepen, overheden en grondeigenaars, investeren we in geschikte sites voor het ontwikkelen van cohousing projecten.",28.png,,0,0
Energent,wonen,Energie,http://energent.be/,EnerGent is een coöperatie die geld van vennoten investeert in projecten van energiebesparing en hernieuwbare energie.,34.jpg,,0,0
Gent fair trade,,,http://www.gentfairtrade.be/,"Gent Fair Trade, dat is eerlijke handel in goed gezelschap. Stad Gent en Oxfam Wereldwinkels Gent-Centrum zetten fairtrade op de kaart, samen met een brede groep partners. Via publieksacties en ondersteuningsprogramma’s verhogen we de zichtbaarheid en het aanbod van eerlijke handel in onze stad.",35.jpg,,0,0
Climate Express,,,,,,,0,0
Ugent1010,,,,,,,0,0
Locatie in Gent,,,,,,,,
Torekes,consuminderen,economie,http://www.torekes.be,"In de wijk Rabot-Blaisantvest in Gent belonen we inzet voor de wijk in het kader van burenzorg, buurtzorg en milieuzorg met onze eigen munt: het Toreke (ontworpen door Saar De Buysere). Op de site ontdek je wat er te doen is en waarmee je Torekes kan verdienen!",16.jpeg,"wondelgemstraat 30, 9000 Gent",51.0613124,3.7104103
Pluimen Ledeberg,consuminderen,economie,http://www.pluimen.gent/,"In Ledeberg geven pluimen ons vleugels! Op 24 februari 2016 zijn de Pluimen gelanceerd in het prachtige Ledeberg. Bewoners kunnen deze wijkmunt verdienen door zich in te zetten in het kader van Buurtzorg, Burenzorg en Ontmoeting. Dit alles om de mensen te waarderen en te belonen voor hun inzet, maar ook om verbinding te leggen tussen bewoners, lokale organisaties en handelaars.",36,,0,0
Fietskeuken Gent,mobiliteit,fiets,http://www.fietskeuken.org,"De Fietskeuken Gent of ‘bike kitchen’ is een openbare uitlaatklep van het kloppend fietshart in Gent. In de eerste plaats is het een plek om fietscultuur te promoten in haar breedste zin. In de ‘DIY’ (Do It Yourself)-workshop of RepareerBAaR kunnen fietsliefhebbers vrijblijvend sleutelen en knutselen. Fietsen maken of kapot maken, ombouwen tot de gekste creaties, alles kan.",9.jpeg,"Groendreef 51, 9000 Gent",51.0621437,3.7030705
Fietskeuken Gent,mobiliteit,fiets,http://www.fietskeuken.org,"De Fietskeuken Gent of ‘bike kitchen’ is een openbare uitlaatklep van het kloppend fietshart in Gent. In de eerste plaats is het een plek om fietscultuur te promoten in haar breedste zin. In de ‘DIY’ (Do It Yourself)-workshop of RepareerBAaR kunnen fietsliefhebbers vrijblijvend sleutelen en knutselen. Fietsen maken of kapot maken, ombouwen tot de gekste creaties, alles kan.",9.jpeg,"hundelgemsesteenweg 2A, 9050 Ledeberg",51.0332973,3.7413374
