Naam,Categorie,Website ,Categorie 2,buurt,tags,tekstje,foto,adres,Latitude,Longitude
Kringloopwinkels,consuminderen,http://www.ateljeevzw.be/nl/home,,,"tweedehands, koop",,11.jpeg,,0,0
Goedvandoen,consuminderen,http://www.goedvandoen.be/,,,koop,,10.jpeg,,0,0
Repair café,consuminderen,http://www.repaircafe.be/nl/,,,maak,,13.jpeg,,0,0
Peerby,consuminderen,http://www.peerby.be,,,deel,,12.jpeg,,0,0
Torekes,consuminderen,http://www.torekes.be,,rabot,,,16.jpeg,,0,0
Critical Mass,democratie,https://www.facebook.com/CriticalMassGent/,,ledeberg,,,5.jpeg,,0,0
Fietskeuken Gent,energie & mobiliteit,http://www.fietskeuken.org,kennis maken,,fiets,"De Fietskeuken Brugse Poort is opnieuw gestart! Iedereen is welkom op maandag (14u tot 18u) of op donderdag (18u tot 22u) om menig stalen ros weer te kunnen repareren. We zijn te vinden op het terrein van Treck Hostel, een indoor camping aan de Groendreef in Gent en tevens een voormalige steenbakkerij. De hostel is nog in opbouw, maar de bijhorende koffiebar Treckhaak is wel al open. Een echt openingsfeest houden we als de indoorcamping ook van start kan gaan... Tot binnenkort op de Fietskeuken!",9.jpeg,"Groendreef 51, 9000 Gent",51.0621437,3.7030705
Cambio,energie & mobiliteit,http://www.cambio.be,consuminderen,,deel,,4.jpeg,,0,0
Fietskeuken Ledeberg,energie & mobiliteit,http://www.fietskeuken.org,kennis maken,,fiets,,9.jpeg,"Hoveniersstraat 40, 9050 Gent",51.037581,3.7454094
Degage,energie & mobiliteit,http://www.degage.be/,consuminderen,,,,6.jpeg,,0,0
Autopia,energie & mobiliteit,http://www.autodelen.net/,consuminderen,,,,2.jpeg,,0,0
Blue-bike,energie & mobiliteit,http://www.blue-bike.be/,consuminderen,"gent sint-pieters, gent dampoort",,,3.jpeg,,0,0
Op Wielekes,energie & mobiliteit,http://www.opwielekes.be,consuminderen,gentbrugge/ledeberg,fiets,Koopt u geen nieuwe fiets voor uw kind omdat het er toch te snel uitgroeit? Staat uw gang vol met fietsjes in afwachting tot het volgende kind erop kan rijden? Het Gentse fietsdeelsysteem Op Wielekes biedt een oplossing.,1.jpeg,"Hoveniersstraat 40,9050 Ledeberg",51.03761,3.745286
Soepcafé de Dampkring,voeding,http://www.facebook.com/soepcafedampkring,kennis maken,,eet,,14.jpeg,"Tarbotstraat 61a, 9000 Gent",51.04579,3.741961
Gent en garde,voeding,http://gentengarde.stad.gent,,,kweek,,26.jpeg,"Woodrow Wilsonplein 1, 9000 Gent",51.04725,3.730573
Far Field,voeding,http://www.farfield.be,,,,,8.jpeg,"Lostraat 76, 9850 NEVELE",51.08836,3.592771
Boerse poort,voeding,http://www.boersepoort.org,,brugse poort,kweek,"Boerse Poort is een ecologische volkstuin door en voor de Brugse Poort. Het bestaat uit de individuele moestuinen op de Akker en in de Malpertuin, de Tuinkamers (groepstuinen) en het Kot (werk- en ontmoetingsplek).",29.png,"Haspelstraat 37, 9000 Gent",51.0585511,3.7024917
Stujardin,voeding,https://www.facebook.com/stujardin/,,,kweek,"StuJardin kweekt samen met jou groenten, fruit en kruiden in de stad. Hiermee willen we studenten overtuigen dat stadstuinieren plezierig en noodzakelijk is. Het project is een stap naar een stedelijke samenleving die meer berust op zelfvoorziening en korte keten. Het is immers duurzamer en milieuvriendelijker om je eigen lokaal gekweekte groenten te consumeren dan voedsel te kopen dat lange afstanden heeft afgelegd voor het op je bord terecht komt.</p></p>Concreet bestaat het project uit twee luiken. Enerzijds organiseert StuJardin diverse groeiavonden over stadstuinieren. Daarnaast hebben we een permanente moestuin op de faculteit bioingenieurswetenschappen. Hierin kunnen studenten en academisch personeel gezellig samen werken en oogsten. </p>",15.jpeg,"Patijntjestraat 34,9000 Gent",51.0397015,3.7085572
Tuin van heden,voeding,http://tuinvanheden.gent/,,,kweek,"Hou je van tuinieren maar heb je zelf geen tuin? Wil je graag aan je eigen vierkante-meter-tuin beginnen? Of wil je graag zelf kruiden beginnen kweken op je terras of balkon?\r\nEén adres: de Tuin van Heden in Ledeberg. Kom naar hier voor tuinier plezier!\r\n\r\nDe handige harry’s kunnen zich trouwens uitleven met hagen snoeien, hout hakken, serres bouwen,…",17.jpeg,"Meierij 178, 9050 Ledeberg",51.03198,3.735309
Eva,voeding,http://www.evavzw.be,kennis maken,,"eet, leer",,7.jpeg,,0,0
het Spilvarken,voeding,http://www.hetspilvarken.be,,,"eet, kweek",,19.jpeg,,0,0
Velt,voeding,http://www.velt.be,kennis maken,,"kweek, leer",,18.jpeg,,0,0
roof food,voeding,https://rooffood.be/nl,,,"eet, kweek",,23.jpeg,"Gaston, Hurstweg 8, 9000 Gent",51.075008,3.721714
ohne,voeding,http://ohne.be/gent/,,,"koop, eet",,20.jpeg,"Steendam 50, 9000 Gent",51.057145,3.729862
oxfam,voeding,http://www.oxfamwereldwinkels.be/nl,,,"koop, fairtrade",,21.jpeg,"Lammerstraat 16,9000 Gent",51.047958,3.728308
oxfam tweedehands,consuminderen,http://www.oxfamsol.be/,,,"tweedehands, koop",,22.jpeg,"Sint-Jacobs 12,9000 Gent",51.067831,3.729091
think twice,consuminderen,http://thinktwice-secondhand.be/shops/ajuinlei-15a-gent/,,,"tweedehands,koop","Think Twice is de winkelketen die tweedehands kleding een waardig leven geeft. Zowel vintage stukken als dagdagelijkse basics liggen in de verschillende winkels. Kies een winkel en shop!\r\n\r\nMomenteel werken er 40 mensen in de 11 shops en staan er nog twee shops in de wachtrij om te openen.\r\n\r\nThink Twice is een onderdeel van Humana (humana.org) en werkt volgens het  “people to people” – principe: tweedehands kleding wordt ingezameld, gesorteerd en verdeeld naar de juiste winkels. Op die manier blijft alles betaalbaar, voor iedereen: people 2 people.\r\nDe collecties wisselen elke vijf weken, waarvan de laatste twee weken met stevige kortingen. Er is dus altijd iets nieuws te ontdekken bij Think Twice.\r\n\r\nDe grote principes van Think Twice zijn samen te vatten in één zin: tweedehands kleding recycleren om zo modieuze kleding voor iedereen betaalbaar te houden.",24.jpeg,"Ajuinlei 15a,9000 Gent",51.051229,3.720073
yak & yeti,consuminderen,http://www.yak-yeti.be,,,"fairtrade, koop","Yak&Yeti is de winkel voor unieke fair trade kledij en originele geschenkartikelen. We liggen in het hartje van Gent, aan de voet van het Belfort. \r\nWaarom is Yak&Yeti zo uniek? Yak&Yeti doet alles zelf, van stofkeuze, over ontwerpen en produceren, tot verkoop aan onze klanten in de winkel.\r\nKom bij ons langs en ontdek ons uitgebreid assortiment aan kledij, juwelen, doeken, mutsen, sjaals, handschoenen, zakken, lederen tassen, portefeuilles, wierrook, parfumoliën, cd's, beelden, handgemaakt rijstpapier, boekjes, kaartjes, fotoalbums en vele artikelen voor meditatie en yoga.",25.jpeg,"Mageleinstraat 13, 9000 Gent",51.053135,3.724568
labo vzw,kennis maken,http://labovzw.be,,,leer,,27.jpeg,,0,0
lets gent,consuminderen,http://www.lets.gent,kennis maken,,"leer, deel",,30.jpg,,0,0
Voedselteams,voeding,,,,eet,,,,0,0
Groentenpaketten,voeding,,,,eet,,,,0,0
Veggie restaurants,voeding,,,,eet,,,,0,0
Volxkeukens,voeding,,,,eet,,,,0,0
Cohousing projects,kennis maken,,consuminderen,,"deel, verbind",,28.png,,0,0
Stropkes,,,,,,,,,0,0
Pluimen Ledeberg,,,,,,,,,0,0
t Landhuis,,,,,,,31.jpg,warmoezeniersweg 20,51.024665,3.744144
BOS+,,,,,,,,"Geraardsbergsesteenweg 264, 9090 Gontrode",50.9760981,3.8052664
JNM,,,,,,,,"Kortrijksepoortstraat 178, 9000 Gent",51.0463038,3.7221034
Gent fair trade,,http://www.gentfairtrade.be/,,,,,,,0,0
Climate Express,,,,,,,,,0,0
Ugent1010,,,,,,,,,0,0
Energent,,,,,,,,,0,0
Cozycar,,http://cozycar.be,,,,,,,0,0
Autodelen,,http://autodelen.net,,,,,,,0,0
Tapazz,,http://tapazz.com,,,,,,,0,0
Caramigo,,http://caramigo.be,,,,,,,0,0
Partago,,http://partago.eu,,,,,,,0,0
Bolides,,http://bolides.be,,,,,,,0,0
Green Bastards,,,,,,,,sint-pietersnieuwstraat 23,51.047704,3.727382
Bakfietsdelen Rabot,,http://www.bakfietsdelenrabot.be,,,,,,,0,0
Buurtfietskar,,http://buurtfietskar.wordpress.com,,,,,,"toekomststraat,gent",51.0509005,3.7471294
Testbak,,http://testbak.be,,,,,,,0,0
Spinlister,,http://spinlister.com,,,,,,,0,0
RentMyBike,,http://rentmybike.be,,,,,,,0,0
Trage wegen vzw,,,,,,,,,0,0
Netwerk bewust verbruiken,,http://www.bewustverbruiken.be,,,,,,,0,0
Bio dicht bij huis,,,,,,,,,0,0
Fermweb ,,http://www.fermweb.be,,,,,,,0,0
Voedselcollectief Gent,,http://www.anarchie.be/voko/,,,,,,,0,0
Thuis Afgehaald,,http://www.thuisafgehaald.be,,,,,,,0,0
Taalcafé Macharius,,,,,,,,,0,0
CSA-boerderijen,,http://www.csa-netwerk.be,,,,,,,0,0
Tuindelen,,http://www.tuindelen.be,,,,,,,0,0
Iedereen Ruilt Mee,,http://iedereen.ruiltmee.be,,,,,,,0,0
Freecycle,,http://freecycle.org,,,,,,,0,0
Samenhuizen,,http://samenhuizen.be,,,,,,,0,0
Timelab,,http://www.timelab.org,,,,,,,0,0
Coworking space like birds,,http://www.likebirds.be,,,,,,,0,0
Crowdfunding Gent,,http://crowdfunding.gent/nl/,,,,,,,0,0
Houtbaar,,,,,,,,,0,0
oxfam boekenwinkel,,,,,,,,,0,0
